Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20191111-94810,2019-11-15T13:49:06Z,Typical,No,None,0,Yes,No,No,2.7,1.4,3,0.5,0.2,40.5,1.6,1.7
Zica-20191111-94810,2019-11-15T16:31:54Z,Typical,No,None,0,No,No,No,3.8,1.3,6,0.6,0.2,39.5,1.5,1.8
Zica-20191111-94810,2019-11-15T20:17:48Z,Typical,No,None,0,No,No,No,1.9,1,2,0.4,0.2,27,1,2.2
Zica-20191111-94810,2019-11-15T22:09:36Z,Typical,No,None,0,No,No,No,1.9,1,2,0.4,0.1,36.7,1,3.6
Zica-20191111-94810,2019-11-16T00:06:20Z,Typical,No,None,0,No,No,No,4.3,1.3,6,0.5,0.3,40.5,1.5,1.2
Zica-20191111-94810,2019-11-16T04:23:21Z,Typical,No,97.5,108,No,No,No,3.4,1.1,5,0.5,0.2,26.4,1.5,2.3
Zica-20191111-94810,2019-11-16T07:49:35Z,Typical,Yes,119.9,125.6,No,No,No,2.9,1.2,5,0.4,0.2,37.8,1.4,1.8
Zica-20191111-94810,2019-11-16T10:42:57Z,Typical,No,None,0,No,No,No,4.5,1.3,7,0.6,0.3,41,1.6,0.9
Zica-20191111-94810,2019-11-16T15:10:21Z,Typical,No,None,0,No,No,No,2.6,1.3,3,0.4,0.2,38.7,1.4,2.3
Zica-20191111-94810,2019-11-16T17:46:06Z,Typical,No,None,0,No,No,No,2.1,1.2,2,0.4,0.1,37.9,1.5,2.5
Zica-20191111-94810,2019-11-16T19:50:46Z,Typical,No,None,0,No,No,No,3.4,1.1,5,0.4,0.3,39,1.1,1.9
Zica-20191111-94810,2019-11-16T23:12:16Z,Typical,No,None,0,No,No,No,NA,1.4,NA,NA,NA,42,1.5,NA
Zica-20191117-195993,2019-11-17T20:12:57Z,Variant,No,None,0,No,No,No,2.7,0.7,4,0.5,0.2,20,0.8,4.1
Zica-20191117-195993,2019-11-17T22:53:53Z,Typical,No,None,0,No,No,No,NA,1.3,NA,NA,NA,47.2,1.4,NA
Zica-20211112-94819,2021-11-12T22:03:22Z,Typical,No,None,0,No,No,No,2.5,1.2,3,0.4,0.2,37.5,1.7,3.1
Zica-20211112-94819,2021-11-13T00:31:32Z,Typical,No,None,0,No,No,No,2.9,1.2,4,0.4,0.2,40.4,1.7,1.6
Zica-20211112-94819,2021-11-13T03:23:50Z,Typical,No,None,0,No,No,No,4,1.2,7,0.4,0.3,40.9,1.8,0.9
Zica-20211112-94819,2021-11-13T07:22:40Z,Typical,No,None,0,No,No,No,2.4,1.2,3,0.4,0.2,42.9,1.8,1.9
Zica-20211112-94819,2021-11-13T09:44:30Z,Typical,No,None,0,No,No,No,3,1.1,4,0.4,0.3,39.4,1.8,1.3
Zica-20211112-94819,2021-11-13T12:46:01Z,Typical,No,None,0,No,No,No,3.4,1.1,6,0.4,0.2,37.5,1.7,0.7
Zica-20211112-94819,2021-11-13T16:12:39Z,Typical,No,None,0,No,No,No,3.5,1.1,6,0.4,0.3,39.3,1.7,1
Zica-20211112-94819,2021-11-13T19:43:27Z,Typical,No,None,0,No,No,No,3.9,1.1,6,0.5,0.3,39.3,1.7,0
